model,threshold,tp,fp,recall,fpr,precision
ratio,4.467059980334317,11,32,0.7333333333333333,0.16326530612244897,0.2558139534883721
ratio,4.459717449408171,11,33,0.7333333333333333,0.1683673469387755,0.25
ratio,4.449829609996214,11,34,0.7333333333333333,0.17346938775510204,0.24444444444444444
ratio,4.3637971698113205,12,34,0.8,0.17346938775510204,0.2608695652173913
ratio,4.239864864864865,12,35,0.8,0.17857142857142858,0.2553191489361702
ratio,4.03943377148635,12,36,0.8,0.1836734693877551,0.25
ratio,4.036418816388467,12,37,0.8,0.18877551020408162,0.24489795918367346
ratio,4.000694444444444,12,38,0.8,0.19387755102040816,0.24
ratio,3.9664804469273744,12,39,0.8,0.1989795918367347,0.23529411764705882
ratio,3.862738301559792,12,40,0.8,0.20408163265306123,0.23076923076923078
ratio,3.8335607094133697,12,41,0.8,0.20918367346938777,0.22641509433962265
ratio,3.7444222311075563,12,42,0.8,0.21428571428571427,0.2222222222222222
ratio,3.6124314442413166,12,43,0.8,0.2193877551020408,0.21818181818181817
ratio,3.585207612456747,12,44,0.8,0.22448979591836735,0.21428571428571427
ratio,3.5759717314487633,12,45,0.8,0.22959183673469388,0.21052631578947367
ratio,3.4971150378651283,12,46,0.8,0.23469387755102042,0.20689655172413793
ratio,3.403474270730908,12,47,0.8,0.23979591836734693,0.2033898305084746
ratio,3.4034742707309076,13,47,0.8666666666666667,0.23979591836734693,0.21666666666666667
ratio,3.3918918918918917,13,49,0.8666666666666667,0.25,0.20967741935483872
ratio,3.3525345622119818,13,50,0.8666666666666667,0.25510204081632654,0.20634920634920634
ratio,3.3326180257510734,13,51,0.8666666666666667,0.2602040816326531,0.203125
ratio,3.248780487804878,13,52,0.8666666666666667,0.2653061224489796,0.2
ratio,3.23154701718908,13,53,0.8666666666666667,0.27040816326530615,0.19696969696969696
ratio,3.229135053110774,13,55,0.8666666666666667,0.28061224489795916,0.19117647058823528
ratio,3.2291350531107734,13,56,0.8666666666666667,0.2857142857142857,0.18840579710144928
ratio,3.160877513711152,13,57,0.8666666666666667,0.29081632653061223,0.18571428571428572
ratio,3.1524926686217007,13,58,0.8666666666666667,0.29591836734693877,0.18309859154929578
ratio,2.988444444444444,13,59,0.8666666666666667,0.3010204081632653,0.18055555555555555
ratio,2.9730976172175247,13,60,0.8666666666666667,0.30612244897959184,0.1780821917808219
ratio,2.6487081011882223,14,60,0.9333333333333333,0.30612244897959184,0.1891891891891892
ratio,2.627222868539139,14,61,0.9333333333333333,0.3112244897959184,0.18666666666666668
ratio,2.6082464965864176,14,62,0.9333333333333333,0.3163265306122449,0.18421052631578946
ratio,2.55039479795634,14,63,0.9333333333333333,0.32142857142857145,0.18181818181818182
ratio,2.522673031026253,14,64,0.9333333333333333,0.32653061224489793,0.1794871794871795
ratio,2.512979465323518,14,65,0.9333333333333333,0.33163265306122447,0.17721518987341772
ratio,2.48,15,65,1.0,0.33163265306122447,0.1875
ratio,2.4004166666666666,15,68,1.0,0.3469387755102041,0.18072289156626506
ratio,2.390138408304498,15,71,1.0,0.3622448979591837,0.1744186046511628
ratio,2.2319999999999998,15,72,1.0,0.3673469387755102,0.1724137931034483
ratio,2.224914804998107,15,74,1.0,0.37755102040816324,0.16853932584269662
ratio,2.2217453505007154,15,75,1.0,0.3826530612244898,0.16666666666666666
