substance,n_recent,ebgm,eb05,as_of
Chlorcyclizine,3,1.7833697480672939,0.8276665544695899,2024-10-01
Fentanyl,1440,0.84160309976905,0.8057712854113719,2024-10-01
"1,1-Difluoroethane",5,1.5284992305678746,0.7997666683844756,2024-10-01
Tramadol,19,1.1119718087657469,0.7681866385299166,2024-10-01
Lorazepam,13,1.188865857256676,0.7662583109147657,2024-10-01
Chlordiazepoxide,4,1.4550284096313122,0.7223372755227632,2024-10-01
Salicylate,2,1.7032039245102504,0.7220339962780703,2024-10-01
Promethazine,2,1.7032039245102504,0.7220339962780703,2024-10-01
Dipyrone,2,1.7032039245102504,0.7220339962780703,2024-10-01
Acetaminophen,3,1.545994732897863,0.717500190407752,2024-10-01
Duloxetine,4,1.3166240372009017,0.6536275261872482,2024-10-01
Heroin,115,0.7562650592536161,0.6481242022703944,2024-10-01
Venlafaxine,3,1.3643881639486601,0.6332161077860036,2024-10-01
Metoprolol,3,1.3643881639486601,0.6332161077860036,2024-10-01
Clozapine,2,1.4416907066356814,0.6111715029123346,2024-10-01
Bupropion,6,1.108034753099712,0.60491319541103,2024-10-01
Methadone,14,0.9143117298346104,0.5977566560676252,2024-10-01
Chloroethane,1,1.588067815048794,0.5908023942515617,2024-10-01
Escitalopram,1,1.588067815048794,0.5908023942515617,2024-10-01
Arsenic,1,1.588067815048794,0.5908023942515617,2024-10-01
Buspirone,1,1.588067815048794,0.5908023942515617,2024-10-01
Clonidine,1,1.588067815048794,0.5908023942515617,2024-10-01
Secobarbital,1,1.588067815048794,0.5908023942515617,2024-10-01
Phenylpropanolamine,1,1.588067815048794,0.5908023942515617,2024-10-01
Labetalol,1,1.588067815048794,0.5908023942515617,2024-10-01
Estazolam,1,1.588067815048794,0.5908023942515617,2024-10-01
Phenobarbital,1,1.588067815048794,0.5908023942515617,2024-10-01
Nicotine,1,1.588067815048794,0.5908023942515617,2024-10-01
Diazepam,16,0.8541981537677189,0.5724917471559636,2024-10-01
